city,year,rain,snowfall,Agency,NTD ID,UPT,Year,VOMS,City,State
Phoenix,2023,8.724409,0.19291338,"Valley Metro Rail, Inc.",90209,10055291,2023,32,Phoenix,AZ
Saint Louis,2008,11.031495,0.22047244,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,22658347,2008,60,Saint Louis,MO
Saint Louis,2009,10.629921,0.52362204,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,18136118,2009,60,Saint Louis,MO
Saint Louis,2010,6.019685,0.60629916,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,15776273,2010,50,Saint Louis,MO
Saint Louis,2011,6.389764,0.0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,16505238,2011,58,Saint Louis,MO
Saint Louis,2012,13.976377,0.30314958,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,17128317,2012,58,Saint Louis,MO
Saint Louis,2013,12.696849,1.1299213,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,17395931,2013,58,Saint Louis,MO
Saint Louis,2014,13.098425,4.685039,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,17181985,2014,58,Saint Louis,MO
Saint Louis,2015,5.637795,9.700788,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,16081738,2015,58,Saint Louis,MO
Saint Louis,2016,17.523623,0.7992126,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,15343956,2016,58,Saint Louis,MO
Saint Louis,2017,5.9212594,0.66141737,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,14115287,2017,58,Saint Louis,MO
Saint Louis,2018,7.929134,0.992126,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,13220212,2018,58,Saint Louis,MO
Saint Louis,2019,5.059055,1.7913387,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,13087672,2019,50,Saint Louis,MO
Saint Louis,2020,10.929133,1.3228347,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,6746245,2020,50,Saint Louis,MO
Saint Louis,2021,7.240157,0.33070865,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,5884125,2021,42,Saint Louis,MO
Saint Louis,2022,8.523622,1.1850393,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,6755791,2022,42,Saint Louis,MO
Saint Louis,2023,8.913385,0.0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,70006,6726853,2023,32,Saint Louis,MO
